IDNumber,FirstName,LastName,email,TotalScore,JobCode,JobName,קוד ועדה אזורית,שם ועדה אזורית
321765828,מועמד מאה ושלוש,אפס ארבע,candidate103@mailinator.com,94.28571429,300,מזכיר ועדת קלפי רגילה,99,99-ועדת הבחירות המרכזית לכנסת
336571468,מועמד מאה ואחד עשרה,אפס שתיים עשרה,candidate111@mailinator.com,85.71428571,305,מזכיר ועדת קלפי נגישה מיוחדת,1,01-ירושלים
232514752,ננה,פרנ,aprg076@mailinator.com,65.71428571,310,מזכיר ועדת קלפי בית חולים,2,02-יהודה
234467777,יקךךם,ננננננ,te.stu.seri.srae.lpro@gmail.com,65.14285714,320,מזכיר ועדת קלפי בבית סוהר,3,03-צפת
239267008, וךוךוך,כככככ,testuse.risrael.pr.o@gmail.com,63.04571429,391,מזכיר ספירת קולות מעטפות חיצוניות,4,04-כנרת
222971699,ןםןם,סססס ,aqu.awave1.234.5@gmail.com,60.18857143,440,מזכיר ספירת קולות בוועדה הארצית,5,05-יזרעאל
229471362,הנהנהנ,נננ,an.oth.erisra.eltes.ter@gmail.com,56.57142857,500,חבר ועדת קלפי,6,06-עכו
333361129,ננננ,ממממ,isr.ea.lqa@gmail.com,56.57142857,501,קולט בוועדת קליטה,7,07-חיפה
237961347,בבבב,שששש,newisraeltest.e.mail@gmail.com,56.57142857,300,מזכיר ועדת קלפי רגילה,8,08-קריות
228305454,אאאא,טטט,an.o.t.herisraeltester@gmail.com,56.57142857,305,מזכיר ועדת קלפי נגישה מיוחדת,9,09-חדרה
327940268,ההה,ננננ,testuserisra.elp.r.o@gmail.com,56.57142857,310,מזכיר ועדת קלפי בית חולים,10,10-השרון-נתניה
220198253,חחחח,טטטט,i.sr.ea.lqa@gmail.com,56.57142857,320,מזכיר ועדת קלפי בבית סוהר,11,11-פתח תקווה
221034853, זשזשזש,דדדדד,anoth.erisra.eltes.ter@gmail.com,56,391,מזכיר ספירת קולות מעטפות חיצוניות,12,12-רמלה-לוד
229496302,ןןןן,םםםםם,t.e.stuse.risraelpro@gmail.com,54.28571429,440,מזכיר ספירת קולות בוועדה הארצית,13,13-רחובות
332541937,ןרםמצשמ,עעעעעעעעע,kipsnew.q.aemail@gmail.com,54.28571429,500,חבר ועדת קלפי,14,14-תל אביב
225708809,נקשארןז,רקזקמקר,quizbeatest@mailinator.com,54.28571429,501,קולט בוועדת קליטה,15,15-דן
334317807,אסתר,מענדל,anotherisraelteste.r@gmail.com,53.52,300,מזכיר ועדת קלפי רגילה,16,16-איילון
336092473,נמנמנמ,מממממ,f.eb.incre.dites.ter@gmail.com,53.33142857,305,מזכיר ועדת קלפי נגישה מיוחדת,17,17-אשקלון
337310783,םםםםם,פפפפפ,f.e.bin.c.r.editester@gmail.com,52,310,מזכיר ועדת קלפי בית חולים,18,18-באר שבע
220426928,כעקעקר,עעעעעעע,f.eb.urar.yisrael@gmail.com,52,320,מזכיר ועדת קלפי בבית סוהר,19,19-מרכז-צפון 
334171253,ככככ,קקקקק,test.user.isr.ael.pro@gmail.com,49.71428571,391,מזכיר ספירת קולות מעטפות חיצוניות,99,99-ועדת הבחירות המרכזית לכנסת
325848026,עעעע,ייייי,testu.seri.srae.lpr.o@gmail.com,49.71428571,440,מזכיר ספירת קולות בוועדה הארצית,1,01-ירושלים
331901504,נננ,ממממ,febin.c.r.editester@gmail.com,49.71428571,500,חבר ועדת קלפי,2,02-יהודה
331623942,םפםפם,בבבבב,new.israeltestem.ail@gmail.com,49.71428571,501,קולט בוועדת קליטה,3,03-צפת
228581039,אליהו,לוי,febincr.edi.tester@gmail.com,49.71428571,300,מזכיר ועדת קלפי רגילה,4,04-כנרת
233534361,זזסזס,דדדד,n.ew.israeltestem.ail@gmail.com,48,305,מזכיר ועדת קלפי נגישה מיוחדת,5,05-יזרעאל
326233236,טוף,טסט,toof@dispostable.com,45.71428571,310,מזכיר ועדת קלפי בית חולים,6,06-עכו
325552438,סופר,טסט,soop@dispostable.com,45.14285714,320,מזכיר ועדת קלפי בבית סוהר,7,07-חיפה
335555025,קביס,טסט,kbis@dispostable.com,45.14285714,391,מזכיר ספירת קולות מעטפות חיצוניות,8,08-קריות
